timestamp,device_id,device_type,slice_type,active_sensors,data_rate_mbps,latency_ms,qos_class,edge_enabled,auth_method,encryption_level,network_isolation,radio_resource_usage,core_network_load,upf_load,slice_hopping_detected,unauthorized_edge_access,abnormal_traffic_pattern,qos_violation,is_anomaly
2024-12-20 07:21:59.811021,fe7c61dd-9791-45e6-bfa7-a9a3296846aa,autonomous_vehicle,URLLC,"gps,camera,radar,lidar",811.9705423077363,1.2212850304794225,mission_critical,True,certificates,none,shared_slice,52.992488715020365,35.44575519387081,61.927685815764036,False,False,False,False,False
2024-12-20 07:22:36.811021,cce042bc-e908-4014-b475-c9c0b2b447bf,smart_meter,mMTC,"frequency,voltage",3.139217752645352,94.84005860420595,standard,False,token_based,AES_256,no_isolation,67.50046552185455,55.673483076649475,43.89304047541241,False,False,False,False,False
2024-12-20 07:23:22.811021,2ca432b6-6bb4-4d87-a3b0-0760d87793bc,surveillance_camera,eMBB,"video,motion,audio",495.4235097155231,17.7483968864423,standard,False,sim_based,AES_128,dedicated_slice,51.53645152393811,46.97587017776202,26.723772842571258,False,False,False,False,False
2024-12-20 07:23:43.811021,69b3d326-7a0e-4354-84f9-9a1a55c94396,autonomous_vehicle,URLLC,"radar,gps",910.6730745700318,2.2841413353721034,mission_critical,True,sim_based,none,dedicated_slice,47.38105746331742,32.948377749260246,48.570639545724674,False,False,False,False,False
2024-12-20 07:24:03.811021,9598ebc5-5a9b-4d92-8b57-d6de3c13831c,medical_device,URLLC,vitals,11.431468104211632,2.8061109771245434,mission_critical,True,certificates,none,dedicated_slice,39.51177296131116,53.75790601117123,53.54353387932251,False,False,False,False,False
2024-12-20 07:24:22.811021,726e0b78-55db-4028-bc96-82c9a48504fe,autonomous_vehicle,URLLC,"camera,gps",1063.0204792448487,1.8584517465794803,mission_critical,True,certificates,none,shared_slice,41.05030929076648,20.556232439633476,36.75339098656079,False,False,False,False,False
2024-12-20 07:25:10.811021,748f1fba-a182-42d5-806a-25b258650d9c,smart_meter,mMTC,voltage,1.7813141681914884,77.31480394649509,standard,True,token_based,none,dedicated_slice,58.574164462036805,21.75377353941052,31.286782403746738,False,False,False,False,False
2024-12-20 07:25:15.811021,cd6bb8bd-efd1-4e90-a4f2-ade32689daeb,surveillance_camera,eMBB,"video,motion",469.93828208924367,14.172516841345033,standard,False,certificates,AES_256,shared_slice,48.61106378653602,58.934444656264986,45.62924430055192,False,False,False,False,False
2024-12-20 07:25:39.811021,35dfa30a-d298-4bce-91fe-f18124a4f294,surveillance_camera,eMBB,"audio,motion",343.54773844410556,18.20050280203182,standard,False,certificates,AES_128,no_isolation,33.25400551165431,41.99613891486919,57.94198739046844,False,False,False,False,False
2024-12-20 07:26:21.811021,66231a82-7f28-4352-a9d5-2b0930a77d1a,medical_device,URLLC,vitals,24.09593266496081,1.8443429355154837,mission_critical,True,certificates,none,dedicated_slice,54.608218155586954,34.09077094846464,38.33115991586204,False,False,False,False,False
